Date,Price,Open,High,Low,Vol.,Change %
5/22/2025,"3,330.02","3,320.74","3,345.34","3,319.57",,0.30%
5/21/2025,"3,320.13","3,290.12","3,325.14","3,285.51",,0.91%
5/20/2025,"3,290.12","3,229.85","3,295.98","3,204.40",,1.87%
5/19/2025,"3,229.85","3,214.60","3,249.91","3,205.98",,-0.15%
5/18/2025,"3,234.80","3,216.02","3,245.29","3,212.09",,1.00%
5/16/2025,"3,202.77","3,239.11","3,252.27","3,154.32",,-1.18%
5/15/2025,"3,240.87","3,178.06","3,241.26","3,120.52",,1.95%
5/14/2025,"3,178.75","3,248.37","3,257.39","3,167.95",,-2.15%
5/13/2025,"3,248.47","3,233.40","3,265.44","3,215.96",,0.43%
5/12/2025,"3,234.70","3,324.98","3,325.42","3,207.67",,-2.70%
5/9/2025,"3,324.63","3,305.51","3,347.64","3,274.94",,0.58%
5/8/2025,"3,305.52","3,366.95","3,414.96","3,288.80",,-1.77%
5/7/2025,"3,365.21","3,430.21","3,438.59","3,360.20",,-1.89%
5/6/2025,"3,430.21","3,336.39","3,435.17","3,322.98",,2.87%
5/5/2025,"3,334.50","3,240.00","3,337.81","3,237.81",,2.89%
5/2/2025,"3,240.88","3,238.55","3,269.49","3,222.75",,0.00%
5/1/2025,"3,241.00","3,288.55","3,290.94","3,202.09",,-1.45%
4/30/2025,"3,288.59","3,316.92","3,328.36","3,267.09",,-0.86%
4/29/2025,"3,317.18","3,341.67","3,349.08","3,299.23",,-0.73%
4/28/2025,"3,341.67","3,328.40","3,353.33","3,267.81",,0.67%
4/25/2025,"3,319.45","3,347.20","3,371.15","3,265.25",,-0.89%
4/24/2025,"3,349.10","3,288.43","3,367.59","3,287.77",,1.85%
4/23/2025,"3,288.26","3,382.55","3,386.89","3,260.50",,-2.79%
4/22/2025,"3,382.54","3,421.57","3,500.33","3,366.74",,-1.22%
4/21/2025,"3,424.30","3,334.41","3,430.93","3,327.82",,2.91%
4/17/2025,"3,327.54","3,344.41","3,358.00","3,283.87",,-0.47%
4/16/2025,"3,343.22","3,226.25","3,345.19","3,226.25",121.32K,3.58%
4/15/2025,"3,227.60","3,210.21","3,234.16","3,209.36",121.32K,0.57%
4/14/2025,"3,209.28","3,237.35","3,245.84","3,193.41",,-0.83%
4/11/2025,"3,236.21","3,174.14","3,245.69","3,174.14",,1.96%
4/10/2025,"3,173.92","3,083.75","3,176.94","3,071.03",,2.98%
4/9/2025,"3,082.18","2,984.08","3,099.87","2,970.01",,3.30%
4/8/2025,"2,983.78","2,983.39","3,022.84","2,974.45",,0.04%
4/7/2025,"2,982.54","3,038.02","3,055.88","2,956.60",,-1.80%
4/4/2025,"3,037.36","3,113.16","3,137.10","3,015.64",,-2.42%
4/3/2025,"3,112.83","3,134.16","3,168.04","3,054.19",,-0.66%
4/2/2025,"3,133.57","3,111.00","3,140.36","3,104.81",,0.74%
4/1/2025,"3,110.55","3,123.36","3,149.11","3,100.85",,-0.40%
3/31/2025,"3,123.05","3,086.54","3,128.29","3,076.62",,1.27%
3/28/2025,"3,084.03","3,056.35","3,086.93","3,053.91",,0.91%
3/27/2025,"3,056.10","3,019.56","3,059.75","3,017.26",,1.22%
