,close,high,low,open,volume
2020-05-24 10:45:47.670242,1849.6714153011233,1864.8514646512117,1829.86137292243,1849.7358235982958,14833
2020-05-25 10:45:47.670242,3635.844985184005,3646.273785046573,3624.183431830406,3641.1479621812305,19894
2020-05-26 10:45:47.670242,5500.613838994074,5514.518750862202,5487.635762496499,5500.319651675309,10565
2020-05-27 10:45:47.670242,7452.916824634876,7458.068792395293,7434.812546703818,7445.904457359405,28402
2020-05-28 10:45:47.670242,9229.501487162543,9244.042927858685,9209.567953655182,9232.466626244099,20315
2020-05-29 10:45:47.670242,11006.087791467624,11024.787095681268,10992.347074727453,10999.535518709727,22834
2020-05-30 10:45:47.670242,12964.009073018364,12978.197675043537,12946.821965702702,12971.45696428546,12314
2020-05-31 10:45:47.670242,14840.752545933654,14858.858024835648,14830.848430568603,14843.014870715038,47180
2020-06-01 10:45:47.670242,16593.80510734016,16609.66470317215,16584.21894797845,16586.949185011297,13883
2020-06-02 10:45:47.670242,18448.061111698757,18454.869487944812,18437.02055588384,18457.30787284838,20051
2020-06-03 10:45:47.670242,20201.71934241751,20220.256142026796,20186.631733477403,20202.086651684214,21695
2020-06-04 10:45:47.670242,21955.146367060483,21961.143024725818,21939.913491721658,21946.604336097917,33123
2020-06-05 10:45:47.670242,23779.342594217087,23792.352106305305,23769.614002697344,23781.87925230539,17902
2020-06-06 10:45:47.670242,25388.014569751307,25395.14662660821,25381.016420889257,25383.078547891564,27573
2020-06-07 10:45:47.670242,27015.522786500005,27020.69838566097,27001.036842653022,27021.596655537553,39374
2020-06-08 10:45:47.670242,28759.29403357591,28770.624547477822,28752.36914564308,28765.650475047234,22288
2020-06-09 10:45:47.670242,30458.010921542467,30467.43653215728,30444.333533919027,30467.58986865956,16884
2020-06-10 10:45:47.670242,32289.435654801993,32301.72566220896,32274.034322881147,32289.473045422485,20559
2020-06-11 10:45:47.670242,33998.63324724987,34012.291245550885,33983.12407480395,33997.73238484442,28125
2020-06-12 10:45:47.670242,35657.40287711634,35663.05896320098,35641.10079545645,35662.47238922527,13688
2020-06-13 10:45:47.670242,37603.967754008496,37610.81280343535,37585.874862685014,37596.61716713534,33869
2020-06-14 10:45:47.670242,39381.39012395984,39394.7697599066,39368.89073908037,39382.32843423571,48137
2020-06-15 10:45:47.670242,41188.14294442863,41198.29045472622,41172.18920658569,41189.067896431254,14023
2020-06-16 10:45:47.670242,42845.668125807286,42861.60572812053,42831.3805347768,42837.457588263496,27100
2020-06-17 10:45:47.670242,44591.229853354766,44606.014228083644,44583.4302542578,44589.5895350649,46735
